Alan Rick,dep.alanrick@camara.leg.br
Dra. Soraya Manato,dep.dra.sorayamanato@camara.leg.br
Evair Vieira de Melo,dep.evairvieirademelo@camara.leg.br
Felipe Rigoni,dep.feliperigoni@camara.leg.br
Lauriete,dep.lauriete@camara.leg.br
Neucimar Fraga,dep.neucimarfraga@camara.leg.br
Norma Ayub,dep.normaayub@camara.leg.br
Ted Conti,dep.tedconti@camara.leg.br
Adriano do Baldy,dep.adrianodobaldy@camara.leg.br
Alcides Rodrigues,dep.alcidesrodrigues@camara.leg.br
Célio Silveira,dep.celiosilveira@camara.leg.br
Delegado Waldir,dep.delegadowaldir@camara.leg.br
Dr. Zacharias Calil,dep.dr.zachariascalil@camara.leg.br
Elias Vaz,dep.eliasvaz@camara.leg.br
Flávia Morais,dep.flaviamorais@camara.leg.br
Francisco Jr.,dep.franciscojr@camara.leg.br
Glaustin da Fokus,dep.glaustindafokus@camara.leg.br
João Campos,dep.joaocampos@camara.leg.br
Jose Mario Schreiner,dep.josemarioschreiner@camara.leg.br
Lucas Vergilio,dep.lucasvergilio@camara.leg.br
Magda Mofatto,dep.magdamofatto@camara.leg.br
Professor Alcides,dep.professoralcides@camara.leg.br
Aluisio Mendes,dep.aluisiomendes@camara.leg.br
André Fufuca,dep.andrefufuca@camara.leg.br
Cleber Verde,dep.cleberverde@camara.leg.br
Dr. Gonçalo,dep.dr.goncalo@camara.leg.br
Edilázio Júnior,dep.edilaziojunior@camara.leg.br
Gastão Vieira,dep.gastaovieira@camara.leg.br
Gil Cutrim,dep.gilcutrim@camara.leg.br
Hildo Rocha,dep.hildorocha@camara.leg.br
João Marcelo Souza,dep.joaomarcelosouza@camara.leg.br
Josimar Maranhãozinho,dep.josimarmaranhaozinho@camara.leg.br
Josivaldo JP,dep.josivaldojp@camara.leg.br
Junior Lourenço,dep.juniorlourenco@camara.leg.br
Juscelino Filho,dep.juscelinofilho@camara.leg.br
Marreca Filho,dep.marrecafilho@camara.leg.br
Pastor Gil,dep.pastorgil@camara.leg.br
Pedro Lucas Fernandes,dep.pedrolucasfernandes@camara.leg.br
Aécio Neves,dep.aecioneves@camara.leg.br
Aelton Freitas,dep.aeltonfreitas@camara.leg.br
André Janones,dep.andrejanones@camara.leg.br
Bilac Pinto,dep.bilacpinto@camara.leg.br
Charlles Evangelista,dep.charllesevangelista@camara.leg.br
Diego Andrade,dep.diegoandrade@camara.leg.br
Dimas Fabiano,dep.dimasfabiano@camara.leg.br
Domingos Sávio,dep.domingossavio@camara.leg.br
Dr. Frederico,dep.dr.frederico@camara.leg.br
Eduardo Barbosa,dep.eduardobarbosa@camara.leg.br
Emidinho Madeira,dep.emidinhomadeira@camara.leg.br
Eros Biondini,dep.erosbiondini@camara.leg.br
Euclydes Pettersen,dep.euclydespettersen@camara.leg.br
Fábio Ramalho,dep.fabioramalho@camara.leg.br
Franco Cartafina,dep.francocartafina@camara.leg.br
Fred Costa,dep.fredcosta@camara.leg.br
Gilberto Abramo,dep.gilbertoabramo@camara.leg.br
Greyce Elias,dep.greyceelias@camara.leg.br
Hercílio Coelho Diniz,dep.herciliocoelhodiniz@camara.leg.br
Igor Timo,dep.igortimo@camara.leg.br
Júlio Delgado,dep.juliodelgado@camara.leg.br
Lafayette de Andrada,dep.lafayettedeandrada@camara.leg.br
Léo Motta,dep.leomotta@camara.leg.br
Luis Tibé,dep.luistibe@camara.leg.br
Marcelo Aro,dep.marceloaro@camara.leg.br
Mauro Lopes,dep.maurolopes@camara.leg.br
Misael Varella,dep.misaelvarella@camara.leg.br
Newton Cardoso Jr,dep.newtoncardosojr@camara.leg.br
Paulo Abi-Ackel,dep.pauloabiackel@camara.leg.br
Pinheirinho,dep.pinheirinho@camara.leg.br
Rodrigo de Castro,dep.rodrigodecastro@camara.leg.br
Stefano Aguiar,dep.stefanoaguiar@camara.leg.br
Subtenente Gonzaga,dep.subtenentegonzaga@camara.leg.br
Vilson da Fetaemg,dep.vilsondafetaemg@camara.leg.br
Weliton Prado,dep.welitonprado@camara.leg.br
Zé Silva,dep.zesilva@camara.leg.br
Zé Vitor,dep.zevitor@camara.leg.br
Beto Pereira,dep.betopereira@camara.leg.br
Bia Cavassa,dep.biacavassa@camara.leg.br
Dr. Luiz Ovando,dep.dr.luizovando@camara.leg.br
Fábio Trad,dep.fabiotrad@camara.leg.br
Loester Trutis,dep.loestertrutis@camara.leg.br
Rose Modesto,dep.rosemodesto@camara.leg.br
Carlos Bezerra,dep.carlosbezerra@camara.leg.br
Dr. Leonardo,dep.dr.leonardo@camara.leg.br
Emanuel Pinheiro Neto,dep.emanuelpinheironeto@camara.leg.br
Juarez Costa,dep.juarezcosta@camara.leg.br
Nelson Barbudo,dep.nelsonbarbudo@camara.leg.br
Neri Geller,dep.nerigeller@camara.leg.br
Cássio Andrade,dep.cassioandrade@camara.leg.br
Celso Sabino,dep.celsosabino@camara.leg.br
Cristiano Vale,dep.cristianovale@camara.leg.br
Delegado Éder Mauro,dep.delegadoedermauro@camara.leg.br
Eduardo Costa,dep.eduardocosta@camara.leg.br
Elcione Barbalho,dep.elcionebarbalho@camara.leg.br
Hélio Leite,dep.helioleite@camara.leg.br
Joaquim Passarinho,dep.joaquimpassarinho@camara.leg.br
José Priante,dep.josepriante@camara.leg.br
Júnior Ferrari,dep.juniorferrari@camara.leg.br
Nilson Pinto,dep.nilsonpinto@camara.leg.br
Olival Marques,dep.olivalmarques@camara.leg.br
Paulo Bengtson,dep.paulobengtson@camara.leg.br
Aguinaldo Ribeiro,dep.aguinaldoribeiro@camara.leg.br
Damião Feliciano,dep.damiaofeliciano@camara.leg.br
Edna Henrique,dep.ednahenrique@camara.leg.br
Efraim Filho,dep.efraimfilho@camara.leg.br
Hugo Motta,dep.hugomotta@camara.leg.br
Julian Lemos,dep.julianlemos@camara.leg.br
Pedro Cunha Lima,dep.pedrocunhalima@camara.leg.br
Ruy Carneiro,dep.ruycarneiro@camara.leg.br
Wellington Roberto,dep.wellingtonroberto@camara.leg.br
Wilson Santiago,dep.wilsonsantiago@camara.leg.br
André de Paula,dep.andredepaula@camara.leg.br
André Ferreira,dep.andreferreira@camara.leg.br
Augusto Coutinho,dep.augustocoutinho@camara.leg.br
Daniel Coelho,dep.danielcoelho@camara.leg.br
Danilo Cabral,dep.danilocabral@camara.leg.br
Eduardo da Fonte,dep.eduardodafonte@camara.leg.br
Felipe Carreras,dep.felipecarreras@camara.leg.br
Fernando Coelho Filho,dep.fernandocoelhofilho@camara.leg.br
Fernando Monteiro,dep.fernandomonteiro@camara.leg.br
Fernando Rodolfo,dep.fernandorodolfo@camara.leg.br
Gonzaga Patriota,dep.gonzagapatriota@camara.leg.br
Luciano Bivar,dep.lucianobivar@camara.leg.br
Marília Arraes,dep.mariliaarraes@camara.leg.br
Ossesio Silva,dep.ossesiosilva@camara.leg.br
Pastor Eurico,dep.pastoreurico@camara.leg.br
Raul Henry,dep.raulhenry@camara.leg.br
Renildo Calheiros,dep.renildocalheiros@camara.leg.br
Ricardo Teobaldo,dep.ricardoteobaldo@camara.leg.br
Sebastião Oliveira,dep.sebastiaooliveira@camara.leg.br
Silvio Costa Filho,dep.silviocostafilho@camara.leg.br
Átila Lira,dep.atilalira@camara.leg.br
Capitão Fábio Abreu,dep.capitaofabioabreu@camara.leg.br
Flávio Nogueira,dep.flavionogueira@camara.leg.br
Iracema Portella,dep.iracemaportella@camara.leg.br
Júlio Cesar,dep.juliocesar@camara.leg.br
Marcos Aurélio Sampaio,dep.marcosaureliosampaio@camara.leg.br
Margarete Coelho,dep.margaretecoelho@camara.leg.br
Marina Santos,dep.marinasantos@camara.leg.br
Merlong Solano,dep.merlongsolano@camara.leg.br
Rejane Dias,dep.rejanedias@camara.leg.br
Aliel Machado,dep.alielmachado@camara.leg.br
Aline Sleutjes,dep.alinesleutjes@camara.leg.br
Aroldo Martins,dep.aroldomartins@camara.leg.br
Boca Aberta,dep.bocaaberta@camara.leg.br
Christiane de Souza Yared,dep.christianedesouzayared@camara.leg.br
Diego Garcia,dep.diegogarcia@camara.leg.br
Felipe Francischini,dep.felipefrancischini@camara.leg.br
Giacobo,dep.giacobo@camara.leg.br
Hermes Parcianello,dep.hermesparcianello@camara.leg.br
Leandre,dep.leandre@camara.leg.br
Luciano Ducci,dep.lucianoducci@camara.leg.br
Luisa Canziani,dep.luisacanziani@camara.leg.br
Luiz Nishimori,dep.luiznishimori@camara.leg.br
Luizão Goulart,dep.luizaogoulart@camara.leg.br
Reinhold Stephanes Junior,dep.reinholdstephanesjunior@camara.leg.br
Ricardo Barros,dep.ricardobarros@camara.leg.br
Roman,dep.roman@camara.leg.br
Rubens Bueno,dep.rubensbueno@camara.leg.br
Schiavinato,dep.schiavinato@camara.leg.br
Sergio Souza,dep.sergiosouza@camara.leg.br
Toninho Wandscheer,dep.toninhowandscheer@camara.leg.br
Vermelho,dep.vermelho@camara.leg.br
Altineu Côrtes,dep.altineucortes@camara.leg.br
Aureo Ribeiro,dep.aureoribeiro@camara.leg.br
Chiquinho Brazão,dep.chiquinhobrazao@camara.leg.br
Chris Tonietto,dep.christonietto@camara.leg.br
Christino Aureo,dep.christinoaureo@camara.leg.br
Clarissa Garotinho,dep.clarissagarotinho@camara.leg.br
Daniela do Waguinho,dep.danieladowaguinho@camara.leg.br
Delegado Antônio Furtado,dep.delegadoantoniofurtado@camara.leg.br
Dr. Luiz Antonio Teixeira Jr.,dep.dr.luizantonioteixeirajr@camara.leg.br
Felício Laterça,dep.feliciolaterca@camara.leg.br
Flordelis,dep.flordelis@camara.leg.br
Gelson Azevedo,dep.gelsonazevedo@camara.leg.br
Gurgel,dep.gurgel@camara.leg.br
Gutemberg Reis,dep.gutembergreis@camara.leg.br
Hugo Leal,dep.hugoleal@camara.leg.br
Jorge Braz,dep.jorgebraz@camara.leg.br
Juninho do Pneu,dep.juninhodopneu@camara.leg.br
Lourival Gomes,dep.lourivalgomes@camara.leg.br
Luiz Antônio Corrêa,dep.luizantoniocorrea@camara.leg.br
Marcos Soares,dep.marcossoares@camara.leg.br
Otavio Leite,dep.otavioleite@camara.leg.br
Otoni de Paula,dep.otonidepaula@camara.leg.br
Pedro Augusto,dep.pedroaugusto@camara.leg.br
Professor Joziel,dep.professorjoziel@camara.leg.br
Ricardo da Karol,dep.ricardodakarol@camara.leg.br
Rodrigo Maia,dep.rodrigomaia@camara.leg.br
Rosangela Gomes,dep.rosangelagomes@camara.leg.br
Soraya Santos,dep.sorayasantos@camara.leg.br
Sóstenes Cavalcante,dep.sostenescavalcante@camara.leg.br
Vinicius Farah,dep.viniciusfarah@camara.leg.br
Benes Leocádio,dep.benesleocadio@camara.leg.br
Beto Rosado,dep.betorosado@camara.leg.br
Carla Dickson,dep.carladickson@camara.leg.br
João Maia,dep.joaomaia@camara.leg.br
Walter Alves,dep.walteralves@camara.leg.br
Expedito Netto,dep.expeditonetto@camara.leg.br
Jaqueline Cassol,dep.jaquelinecassol@camara.leg.br
Léo Moraes,dep.leomoraes@camara.leg.br
Lucio Mosquini,dep.luciomosquini@camara.leg.br
Mariana Carvalho,dep.marianacarvalho@camara.leg.br
Mauro Nazif,dep.mauronazif@camara.leg.br
Silvia Cristina,dep.silviacristina@camara.leg.br
Edio Lopes,dep.ediolopes@camara.leg.br
Haroldo Cathedral,dep.haroldocathedral@camara.leg.br
Hiran Gonçalves,dep.hirangoncalves@camara.leg.br
Jhonatan de Jesus,dep.jhonatandejesus@camara.leg.br
Nicoletti,dep.nicoletti@camara.leg.br
Ottaci Nascimento,dep.ottacinascimento@camara.leg.br
Shéridan,dep.sheridan@camara.leg.br
Afonso Hamm,dep.afonsohamm@camara.leg.br
Afonso Motta,dep.afonsomotta@camara.leg.br
Alceu Moreira,dep.alceumoreira@camara.leg.br
Carlos Gomes,dep.carlosgomes@camara.leg.br
Daniel Trzeciak,dep.danieltrzeciak@camara.leg.br
Danrlei de Deus Hinterholz,dep.danrleidedeushinterholz@camara.leg.br
Giovani Cherini,dep.giovanicherini@camara.leg.br
Giovani Feltes,dep.giovanifeltes@camara.leg.br
Heitor Schuch,dep.heitorschuch@camara.leg.br
Jerônimo Goergen,dep.jeronimogoergen@camara.leg.br
Liziane Bayer,dep.lizianebayer@camara.leg.br
Lucas Redecker,dep.lucasredecker@camara.leg.br
Marcel van Hattem,dep.marcelvanhattem@camara.leg.br
Marcelo Brum,dep.marcelobrum@camara.leg.br
Marcelo Moraes,dep.marcelomoraes@camara.leg.br
Márcio Biolchi,dep.marciobiolchi@camara.leg.br
Marlon Santos,dep.marlonsantos@camara.leg.br
Maurício Dziedricki,dep.mauriciodziedricki@camara.leg.br
Nereu Crispim,dep.nereucrispim@camara.leg.br
Osmar Terra,dep.osmarterra@camara.leg.br
Pedro Westphalen,dep.pedrowestphalen@camara.leg.br
Santini,dep.santini@camara.leg.br
Angela Amin,dep.angelaamin@camara.leg.br
Carlos Chiodini,dep.carloschiodini@camara.leg.br
Carmen Zanotto,dep.carmenzanotto@camara.leg.br
Caroline de Toni,dep.carolinedetoni@camara.leg.br
Celso Maldaner,dep.celsomaldaner@camara.leg.br
Coronel Armando,dep.coronelarmando@camara.leg.br
Daniel Freitas,dep.danielfreitas@camara.leg.br
Darci de Matos,dep.darcidematos@camara.leg.br
Fabio Schiochet,dep.fabioschiochet@camara.leg.br
Geovania de Sá,dep.geovaniadesa@camara.leg.br
Gilson Marques,dep.gilsonmarques@camara.leg.br
Hélio Costa,dep.heliocosta@camara.leg.br
Jorge Goetten,dep.jorgegoetten@camara.leg.br
Ricardo Guidi,dep.ricardoguidi@camara.leg.br
Rodrigo Coelho,dep.rodrigocoelho@camara.leg.br
Bosco Costa,dep.boscocosta@camara.leg.br
Fábio Henrique,dep.fabiohenrique@camara.leg.br
Fábio Mitidieri,dep.fabiomitidieri@camara.leg.br
Fabio Reis,dep.fabioreis@camara.leg.br
Gustinho Ribeiro,dep.gustinhoribeiro@camara.leg.br
Laercio Oliveira,dep.laerciooliveira@camara.leg.br
Valdevan Noventa,dep.valdevannoventa@camara.leg.br
Abou Anni,dep.abouanni@camara.leg.br
Adriana Ventura,dep.adrianaventura@camara.leg.br
Alex Manente,dep.alexmanente@camara.leg.br
Alexandre Leite,dep.alexandreleite@camara.leg.br
Alexis Fonteyne,dep.alexisfonteyne@camara.leg.br
Arnaldo Jardim,dep.arnaldojardim@camara.leg.br
Baleia Rossi,dep.baleiarossi@camara.leg.br
Bruna Furlan,dep.brunafurlan@camara.leg.br
Capitão Augusto,dep.capitaoaugusto@camara.leg.br
Carla Zambelli,dep.carlazambelli@camara.leg.br
Carlos Sampaio,dep.carlossampaio@camara.leg.br
Celso Russomanno,dep.celsorussomanno@camara.leg.br
Cezinha de Madureira,dep.cezinhademadureira@camara.leg.br
Coronel Tadeu,dep.coroneltadeu@camara.leg.br
David Soares,dep.davidsoares@camara.leg.br
Eduardo Cury,dep.eduardocury@camara.leg.br
Eli Corrêa Filho,dep.elicorreafilho@camara.leg.br
Enrico Misasi,dep.enricomisasi@camara.leg.br
Fausto Pinato,dep.faustopinato@camara.leg.br
General Peternelli,dep.generalpeternelli@camara.leg.br
Geninho Zuliani,dep.geninhozuliani@camara.leg.br
Gilberto Nascimento,dep.gilbertonascimento@camara.leg.br
Guiga Peixoto,dep.guigapeixoto@camara.leg.br
Guilherme Mussi,dep.guilhermemussi@camara.leg.br
Herculano Passos,dep.herculanopassos@camara.leg.br
Jefferson Campos,dep.jeffersoncampos@camara.leg.br
Luiz Carlos Motta,dep.luizcarlosmotta@camara.leg.br
Luiz Philippe de Orleans e Bragança,dep.luizphilippedeorleansebraganca@camara.leg.br
Marcio Alvino,dep.marcioalvino@camara.leg.br
Marco Bertaiolli,dep.marcobertaiolli@camara.leg.br
Maria Rosas,dep.mariarosas@camara.leg.br
Miguel Lombardi,dep.miguellombardi@camara.leg.br
Paulo Freire Costa,dep.paulofreirecosta@camara.leg.br
Paulo Pereira da Silva,dep.paulopereiradasilva@camara.leg.br
Policial Katia Sastre,dep.policialkatiasastre@camara.leg.br
Renata Abreu,dep.renataabreu@camara.leg.br
Ricardo Izar,dep.ricardoizar@camara.leg.br
Ricardo Silva,dep.ricardosilva@camara.leg.br
Roberto Alves,dep.robertoalves@camara.leg.br
Roberto de Lucena,dep.robertodelucena@camara.leg.br
Rodrigo Agostinho,dep.rodrigoagostinho@camara.leg.br
Tiririca,dep.tiririca@camara.leg.br
Vanderlei Macris,dep.vanderleimacris@camara.leg.br
Vinicius Carvalho,dep.viniciuscarvalho@camara.leg.br
Vinicius Poit,dep.viniciuspoit@camara.leg.br
Vitor Lippi,dep.vitorlippi@camara.leg.br
Carlos Henrique Gaguim,dep.carloshenriquegaguim@camara.leg.br
Dulce Miranda,dep.dulcemiranda@camara.leg.br
Eli Borges,dep.eliborges@camara.leg.br
Osires Damaso,dep.osiresdamaso@camara.leg.br
Professora Dorinha Seabra Rezende,dep.professoradorinhaseabrarezende@camara.leg.br
Tiago Dimas,dep.tiagodimas@camara.leg.br
Vicentinho Júnior,dep.vicentinhojunior@camara.leg.br
